file,contrast,dissimiliarity,homogeneity,energy,correlation,ASM
/home/malik/Skripsi+data/Skripsi+data/Training/TD4.jpg,46.53427628102226,3.6107474831811714,0.3638489793521304,0.023635977841723065,0.988946846069004,0.0005586594485344237
/home/malik/Skripsi+data/Skripsi+data/Training/L48.jpg,9.171076381245872,2.025807469366791,0.41960214944315766,0.024408393359387586,0.9985693772611564,0.000595769666386596
/home/malik/Skripsi+data/Skripsi+data/Training/L21.jpg,32.55015018292423,3.3712128042212557,0.3510759732347458,0.031962759926978626,0.9900872917398155,0.0010216180221496707
/home/malik/Skripsi+data/Skripsi+data/Training/L73.jpg,11.36917403801544,2.197795243418571,0.40111020870652675,0.03170390049586373,0.9967340165257379,0.0010051373066516287
/home/malik/Skripsi+data/Skripsi+data/Training/TD21.jpg,56.62925717727927,3.978991028928677,0.35586467384284026,0.028144214340355612,0.9770957194203923,0.0007920968008358786
/home/malik/Skripsi+data/Skripsi+data/Training/TD7.jpg,50.730933671300114,4.359443334119493,0.2942842085313639,0.023946707440697906,0.9907809459187686,0.0005734447972503765
/home/malik/Skripsi+data/Skripsi+data/Training/L71.jpg,9.754461031991077,2.0837037450709044,0.4123652176471041,0.03221651032442334,0.9966516551087828,0.0010379035374836758
/home/malik/Skripsi+data/Skripsi+data/Training/TD25.jpg,11.498635351212766,2.0198242670007103,0.46047472292457914,0.02979374691005752,0.9980755777792775,0.0008876673549405619
/home/malik/Skripsi+data/Skripsi+data/Training/L68.jpg,18.948759952089063,2.8860846896357364,0.34686211337293715,0.030521097335047057,0.9962376664536189,0.0009315373825354166
/home/malik/Skripsi+data/Skripsi+data/Training/TD15.jpg,28.114391966610768,2.885061058989999,0.40149367205471176,0.029262669382813678,0.989886202300225,0.000856303819407861
/home/malik/Skripsi+data/Skripsi+data/Training/L84.jpg,8.194957878147976,1.9903255905318464,0.40893638997764475,0.028418275399692727,0.9976924043347036,0.0008075983766927809
/home/malik/Skripsi+data/Skripsi+data/Training/L50.jpg,16.593803006103833,2.6711841795738476,0.3463575201984632,0.026707614337537967,0.9955495573417593,0.0007132966636026637
/home/malik/Skripsi+data/Skripsi+data/Training/L39.jpg,24.67813004672481,2.874256987881502,0.360828910420867,0.02751139651625891,0.9954023540609129,0.000756876938274823
/home/malik/Skripsi+data/Skripsi+data/Training/L15.jpg,32.32520231966009,3.09230562260643,0.38938964181736996,0.032065135974687915,0.9856900628050714,0.001028172945075225
/home/malik/Skripsi+data/Skripsi+data/Training/L64.jpg,10.206646798209555,2.0407006485795196,0.4195859795999558,0.03327960391602097,0.9964653109973195,0.0011075320368072383
/home/malik/Skripsi+data/Skripsi+data/Training/L23.jpg,16.09072604076293,2.3858429754076425,0.4153305700926422,0.02888854632341565,0.9951667953082715,0.0008345481086801319
/home/malik/Skripsi+data/Skripsi+data/Training/L43.jpg,10.399232802983807,1.977235887509246,0.4381887047196339,0.028448805653033076,0.9977934166110065,0.0008093345430840468
/home/malik/Skripsi+data/Skripsi+data/Training/L29.jpg,32.21325281544369,3.510591164938728,0.31941746172741503,0.02706767909184699,0.987449807906525,0.0007326592514192106
/home/malik/Skripsi+data/Skripsi+data/Training/L86.jpg,7.753343538655114,1.9694121841890793,0.4081678307507346,0.03583447909679073,0.9962046354148136,0.001284109892138332
/home/malik/Skripsi+data/Skripsi+data/Training/TD1.jpg,28.58134755950629,2.8716659080564417,0.41032054451139754,0.03089514360478018,0.9898112529088612,0.0009545098983599898
/home/malik/Skripsi+data/Skripsi+data/Training/TD22.jpg,9.592137075989722,1.77788173325112,0.4985479264417007,0.040931561852714245,0.9989771620394141,0.0016753927557025719
/home/malik/Skripsi+data/Skripsi+data/Training/L13.jpg,13.733556171418176,2.239299716729572,0.42686228585120306,0.028857679614440957,0.9957502946864177,0.0008327656727297213
/home/malik/Skripsi+data/Skripsi+data/Training/L25.jpg,44.41834462535236,4.084936946291915,0.29195814849168594,0.02768554762094759,0.9747667211643193,0.0007664895470717568
/home/malik/Skripsi+data/Skripsi+data/Training/L1.jpg,26.228577084888915,3.0921885480491245,0.3542435335960398,0.027492846711220417,0.9910548660472981,0.0007558566202866632
/home/malik/Skripsi+data/Skripsi+data/Training/L26.jpg,54.19930985285592,4.547533597590736,0.2821209385520755,0.022594585556740408,0.983359968045348,0.0005105152964808622
/home/malik/Skripsi+data/Skripsi+data/Training/TD12.jpg,49.7157614950152,3.465873558949288,0.41171614076396434,0.026063270094635445,0.9932089584482048,0.0006792940480259183
/home/malik/Skripsi+data/Skripsi+data/Training/L82.jpg,7.656191008693103,1.873944646351691,0.42873994616113137,0.03487937545823134,0.9975205621988023,0.0012165708323562709
/home/malik/Skripsi+data/Skripsi+data/Training/L56.jpg,7.644382038985325,1.809523163504564,0.44961822011901714,0.03567971867648587,0.9974378319800979,0.001273042324833175
/home/malik/Skripsi+data/Skripsi+data/Training/L46.jpg,16.03225111323155,2.4431289758269714,0.3904935568941841,0.02405087041507267,0.9972199810521041,0.0005784443677226178
/home/malik/Skripsi+data/Skripsi+data/Training/L18.jpg,19.201111293658712,2.6545721856424898,0.39671902571128476,0.034419708608472585,0.9905856320041461,0.001184716340692162
/home/malik/Skripsi+data/Skripsi+data/Training/L90.jpg,28.368948510481115,2.990473909984761,0.3829102745906487,0.029445441076201805,0.9912931061912301,0.0008670340001720726
/home/malik/Skripsi+data/Skripsi+data/Training/L5.jpg,40.93016144349477,3.9305311807534022,0.32691048032665315,0.024516658454362995,0.9872418146687946,0.0006010665417678885
